feature,mean_abs_shap
aCosPhi_L1,0.0003995183207250329
aCosPhi_L3,0.000333325826034696
aCurrentL3,0.0002220278220519299
aApparentPower_L3,0.00020671010054132345
rTotalReactiveEnergy,0.0002022640614340522
rTotalApparentPower,0.00014636574858868868
aCurrentL1,0.00011789756328949658
aActivePower_L3,9.380912033266242e-05
aApparentPower_L1,8.896994474906577e-05
aPowerFactorPF_L1,7.650924135098776e-05
aReactivePower_L1,7.409085489050758e-05
aActivePower_L1,4.5999984942798265e-05
rTotalApparentEnergy,4.191060998629282e-05
aApparentPower_L2,4.005914035429658e-05
aCurrentL2,3.694218365722556e-05
rTotalReactivePower,3.5299681847803766e-05
aReactivePower_L3,3.373755785774522e-05
rTotalActivePower,2.800154410657527e-05
airDurchfluss,2.6940179134197187e-05
airDruck,2.6478666626713374e-05
aPowerFactorPF_L2,1.767237644071004e-05
aVoltage_L1_N,1.6099037546066587e-05
aVoltage_L2_N,1.571562007429703e-05
aCosPhi_L2,1.3702907496979822e-05
airTempeatur,1.3346017971015847e-05
aReactivePower_L2,1.3092840004921042e-05
celHum,1.128460901490874e-05
aVoltage_L3_N,1.0995727724616865e-05
aActivePower_L2,5.4829786637815955e-06
airTotal,3.4225330709766406e-06
celTemp,3.396474405545414e-06
