feature,mean_abs_shap
rTotalApparentEnergy,0.00013543867325061247
aReactivePower_L3,4.7067435244207085e-05
aCosPhi_L3,4.492051002389062e-05
aReactivePower_L1,4.42567538038821e-05
rTotalApparentPower,3.9102350445823774e-05
rTotalReactiveEnergy,3.8036342216881284e-05
aCosPhi_L1,3.770392728825564e-05
rTotalReactivePower,3.604028171428203e-05
aCosPhi_L2,3.517077269035713e-05
aPowerFactorPF_L2,3.0992731009457066e-05
rTotalActivePower,3.079078907357636e-05
aReactivePower_L2,2.849587085455056e-05
aActivePower_L1,2.5420911698702526e-05
aActivePower_L3,2.4354800291560805e-05
aVoltage_L1_N,2.2315043261883746e-05
aCurrentL1,2.1697854390817785e-05
airTotal,2.0758014898829854e-05
aVoltage_L3_N,1.8711576659905165e-05
airDurchfluss,1.7390940208810002e-05
aApparentPower_L1,1.692634950092416e-05
aCurrentL2,1.5929554713502064e-05
aVoltage_L2_N,1.4199200957096576e-05
aApparentPower_L3,1.3767663799396088e-05
aCurrentL3,1.0534245642066198e-05
aApparentPower_L2,7.74060271601352e-06
aActivePower_L2,7.707950045592454e-06
airTempeatur,6.981908792130614e-06
