feature,mean_abs_shap
aCosPhi_L3,0.0002621127140519734
rTotalApparentEnergy,0.0001566315036964937
aCurrentL3,0.00014094534050648739
aCurrentL2,0.00012323180552854972
aApparentPower_L3,0.00010882954249353536
aApparentPower_L2,0.00010013769679089786
aActivePower_L3,9.28437751274116e-05
aReactivePower_L3,7.731848458541525e-05
aPowerFactorPF_L2,7.672339222591824e-05
rTotalReactiveEnergy,7.055432081196821e-05
rTotalActivePower,6.974266541487123e-05
aActivePower_L2,5.730127332371451e-05
aActivePower_L1,5.6962262139860276e-05
rTotalApparentPower,5.6924671299984465e-05
aReactivePower_L2,4.961641599342566e-05
aCosPhi_L1,4.541912035718443e-05
aCosPhi_L2,4.490343107416141e-05
aVoltage_L3_N,4.242683537766324e-05
aReactivePower_L1,4.0068432851574926e-05
aApparentPower_L1,3.367570108583044e-05
aCurrentL1,3.327685850461629e-05
airTempeatur,2.5730742178688006e-05
aPowerFactorPF_L1,2.2049455340639853e-05
rTotalReactivePower,2.111307087311485e-05
aVoltage_L2_N,1.292764223321914e-05
aVoltage_L1_N,9.252721564664293e-06
airDurchfluss,8.325514879760932e-06
airTotal,6.13447543592211e-06
